experiment_name,experiment_label,model_name,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,observed_degradation_fraction
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,7,0.6000000000000001,0.7000000000000001,468,0.6496166903915346,0.7350427350427351
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,8,0.7000000000000001,0.8,626,0.752635895383576,0.8706070287539937
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,9,0.8,0.9,967,0.8571221677747786,0.9793174767321613
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",random_forest,10,0.9,1.0,2344,0.9620914175072129,0.9982935153583617
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,1,0.0,0.1,0,,
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,2,0.1,0.2,2213,0.14965467972250898,0.05015815634884772
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,3,0.2,0.30000000000000004,1675,0.23889933431122914,0.28059701492537314
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,4,0.30000000000000004,0.4,1041,0.3530502836683051,0.2670509125840538
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,5,0.4,0.5,916,0.45654903066910124,0.5709606986899564
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,6,0.5,0.6000000000000001,661,0.550399462948021,0.7231467473524962
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,7,0.6000000000000001,0.7000000000000001,537,0.6323973714298229,0.7895716945996276
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,8,0.7000000000000001,0.8,1638,0.7489388953064184,0.8675213675213675
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,9,0.8,0.9,1319,0.8388279125054279,0.9977255496588324
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",adaboost,10,0.9,1.0,0,,
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,1,0.0,0.1,3345,0.032925620782396636,0.015246636771300448
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,2,0.1,0.2,822,0.1407904737245381,0.145985401459854
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,3,0.2,0.30000000000000004,393,0.24442313083790002,0.2697201017811705
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,4,0.30000000000000004,0.4,293,0.3496165917591492,0.3242320819112628
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,5,0.4,0.5,314,0.4506858164088227,0.4140127388535032
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,6,0.5,0.6000000000000001,230,0.5476463060526248,0.5304347826086957
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,7,0.6000000000000001,0.7000000000000001,196,0.6520516165861229,0.6122448979591837
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,8,0.7000000000000001,0.8,271,0.7503018614709788,0.7675276752767528
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,9,0.8,0.9,354,0.8580091801230261,0.8785310734463276
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",hist_gradient_boosting,10,0.9,1.0,3782,0.9805420356372171,0.9936541512427287
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,1,0.0,0.1,2883,0.03480127758745129,0.013180714533472077
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,2,0.1,0.2,1054,0.13929393399061468,0.10815939278937381
reduced_context,"Reduced context without capacity, offered traffic, or synthetic deployment-area variables",xgboost,3,0.2,0.30000000000000004,425,0.2458568091252271,0.1976470588235294
