edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope,source_label,target_label
edge_dd2950cd4e1cf05005,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence:context_value:weather_foggy:086f7369c216,context_cooccurs,context_cooccurrence,False,270.0,,,,,,,,,,270.0,0.0054,94.0,0.3481481481481481,0.50716,0.6864661017196706,radio_band,weather,,,,,,,,,,,,,,radio_band=n41,weather=Foggy
edge_36d9c98f8a77818539,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_cooccurs,context_cooccurrence,False,1066.0,,,,,,,,,,1066.0,0.02132,371.0,0.348030018761726,0.50716,0.6862331784086403,radio_band,tower_load,,,,,,,,,,,,,,radio_band=n41,tower_load=Light
edge_120ef9130d8d7faae3,context_cooccurrence:context_value:mobility_driving:c335cecd5415,context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_cooccurs,context_cooccurrence,False,322.0,,,,,,,,,,322.0,0.00644,112.0,0.3478260869565217,0.50716,0.6858310729484219,mobility,radio_band,,,,,,,,,,,,,,mobility=Driving,radio_band=n28
edge_49967570e8013d62ed,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence:context_value:time_bin_afternoon:e0d493798a7a,context_cooccurs,context_cooccurrence,False,488.0,,,,,,,,,,488.0,0.00976,169.0,0.3463114754098361,0.50716,0.682844615919702,radio_band,time_bin,,,,,,,,,,,,,,radio_band=n41,time_bin=afternoon
edge_4a3336f2ad1b3fb655,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,1060.0,,,,,,,,,,1060.0,0.0212,367.0,0.3462264150943396,0.50716,0.6826768970233054,network_type,radio_band,,,,,,,,,,,,,,network_type=5G SA,radio_band=n41
edge_6f7e68dab9e6fc4d9e,context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurs,context_cooccurrence,False,10599.0,,,,,,,,,,10599.0,0.21198,3666.0,0.3458816869515992,0.50716,0.6819971743662733,mobility,obstruction,,,,,,,,,,,,,,mobility=Static,obstruction=Low
edge_8421b8bdabcf49e8d3,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_cooccurs,context_cooccurrence,False,9040.0,,,,,,,,,,9040.0,0.1808,3124.0,0.3455752212389381,0.50716,0.6813928962042315,network_type,tower_load,,,,,,,,,,,,,,network_type=5G SA,tower_load=Light
edge_4603bcc6d346b27d6f,context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurs,context_cooccurrence,False,1044.0,,,,,,,,,,1044.0,0.02088,360.0,0.3448275862068966,0.50716,0.6799187361126597,mobility,radio_band,,,,,,,,,,,,,,mobility=Static,radio_band=n41
edge_5257f7cde1e4402daa,context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_cooccurs,context_cooccurrence,False,9037.0,,,,,,,,,,9037.0,0.18074,3115.0,0.3446940356312936,0.50716,0.6796554058508035,mobility,network_type,,,,,,,,,,,,,,mobility=Static,network_type=5G SA
edge_09c4e13bee83cad04b,context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_cooccurs,context_cooccurrence,False,6660.0,,,,,,,,,,6660.0,0.1332,2291.0,0.343993993993994,0.50716,0.6782750887175526,obstruction,radio_band,,,,,,,,,,,,,,obstruction=Low,radio_band=n78
